run_id,seed_profile_id,cell_FR,cell_MB,cell_PD,cell_ODW,movement_model,movement_model_requested,movement_model_effective,runtime_decision_source_requested,runtime_decision_source_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,odw_posture_bias_enabled_effective,odw_posture_bias_k_effective,odw_posture_bias_clip_delta_effective,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,opponent_archetype_id,side_a_vector,opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,first_damage_tick,missing_cut,pocket_without_cut,event_order_anomaly,event_order_anomaly_label,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,precontact_ar_forward_p90_A,precontact_wedge_ratio_p10_A,precontact_split_separation_p90_A,precontact_c_conn_mean_A,precontact_rho_mean_A,precontact_c_scale_mean_A,front_profile_A,wedge_present_A,local_penetration_A,structural_fragility_A,posture_coherence_A,fire_eff_contact_to_cut_mean_A,fire_eff_contact_to_cut_p90_A,front_profile_B,wedge_present_B,local_penetration_B,structural_fragility_B,posture_coherence_B,fire_eff_contact_to_cut_mean_B,fire_eff_contact_to_cut_p90_B,runtime_collapse_sig_mean_A,runtime_collapse_sig_p95_A,runtime_c_conn_mean_A,runtime_rho_mean_A,runtime_c_scale_mean_A,runtime_collapse_sig_mean_B,runtime_collapse_sig_p95_B,runtime_c_conn_mean_B,runtime_rho_mean_B,runtime_c_scale_mean_B,precontact_wedge_p50_A,precontact_frontcurv_p50_A,precontact_cw_pshare_p50_A,precontact_pospersist_max_abs_A,first_alive_lead_tick,first_alive_lead_side,first_alive_lead_change_tick,first_major_divergence_tick,first_major_divergence_side,max_alive_lead_A,max_alive_lead_B,contact_ticks,mean_in_contact_count_contact_phase,mean_damage_events_count_contact_phase,damage_events_per_contact_pair_proxy,determinism_digest,candidate_id,candidate_family,candidate_mode,candidate_a,candidate_sigma,candidate_p,candidate_q,candidate_beta,candidate_gamma,baseline_anchor_source
A_a025_s010_q1__SP01_FR5_MB2_PD2_ODW2,SP01,5,2,2,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,461,14,0,111,118,130,135,111,False,False,False,,344,,3.036876355748373,0.0,0.022859027539927183,0.0,0.36952925462932407,0.27041891856311273,0.8461538461538461,0.6086956521739131,2.0819702752789793,1.0008185330505923,1.7091196866994824,0.8412999999999998,0.4396961522361986,1.0,flat_holding_front,False,True,True,False,0.3877488772179327,0.5432516493126109,flat_holding_front,False,True,False,False,0.5211325837096078,0.650171847316474,0.161,0.26,0.839,0.4398239475525965,1.0,0.0560909090909091,0.19549999999999992,0.9439090909090909,0.45870357108338744,1.0,1.0657658824446243,0.22905087938819646,-0.014132821208687304,0.0,118,B,230,133,B,14,6,341,57.48093841642229,57.48093841642229,1.0,59aa9e5a56ad3d6b2f51e8ee2fb94d5b559bc0d32abe863d0e603be3f443883f,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB2_PD2_ODW8,SP01,5,2,2,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,501,0,11,109,117,128,137,109,False,False,False,,,492,0.0,1.996007984031936,0.0,0.01996007984031936,0.270020352689299,0.2044238815755402,0.631578947368421,0.5,2.036671788754556,0.8371047826717826,1.728532459372702,0.9153999999999999,0.4324936144596227,1.0,mixed_front,False,True,False,False,0.3116048585457786,0.4523609997307073,mixed_front,False,True,False,False,0.4420001648867894,0.6228096616447173,0.0812962962962963,0.18000000000000005,0.9187037037037037,0.4334181050621109,1.0,0.0488888888888889,0.16000000000000003,0.9511111111111111,0.45779277995833584,1.0,0.9021424437620322,0.4195348467193547,0.0016766399589432325,0.0,119,B,,140,B,0,11,383,52.052219321148826,52.052219321148826,1.0,1277861e73d2f39e9a2e617fcfe64eabbca2ff0c51c37eb2dd5a44b3b6586a1d,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB2_PD5_ODW2,SP01,5,2,5,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,429,0,21,110,119,129,135,110,False,False,False,,121,420,14.452214452214452,2.331002331002331,0.023970376041136818,0.023310023310023312,0.2905785964208441,0.22692461391368768,0.5868434343434343,0.5204945410251058,2.098483312430978,0.9935270581043557,1.705474646268974,0.8206000000000002,0.4419134293319181,1.0,mixed_front,False,True,True,False,0.3604165073940946,0.519202365280729,flat_holding_front,False,True,False,False,0.5202105798587336,0.7515500147864791,0.1830275229357798,0.32999999999999996,0.8169724770642202,0.4420034912901756,1.0,0.06229357798165138,0.21999999999999997,0.9377064220183486,0.45668333420603924,1.0,1.051387149369545,0.26050147179545613,-0.013679803390003178,0.0,119,B,,135,B,0,21,310,61.229032258064514,61.229032258064514,1.0,81029cdbcc69a2e79843d58e2bd543f9b2458015a734ac09fa54b3391a8fd8ed,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB2_PD5_ODW8,SP01,5,2,5,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,502,0,8,110,118,129,140,110,False,False,False,,117,493,34.66135458167331,1.9920318725099602,0.11095760560429427,0.0199203187250996,0.3838906052411889,0.26282025996825026,0.7777777777777778,0.6176470588235294,2.053848700630571,0.8852162513976487,1.725909031335275,0.9189,0.43338547402043404,1.0,mixed_front,False,True,False,False,0.34190001189865477,0.4798185969489906,flat_holding_front,False,True,False,False,0.4875644988373021,0.6569120412766795,0.07697247706422018,0.18999999999999995,0.9230275229357798,0.43408747756830607,1.0,0.06366972477064221,0.22999999999999998,0.9363302752293577,0.45813234545436476,1.0,0.913298435915394,0.1564774597685954,0.001494216280820375,0.0,120,B,217,139,B,1,8,383,52.3733681462141,52.3733681462141,1.0,f6ee09dc397f118f661d59bbfb92405e1c50d4598dc480c55f3ac7bd230fda0e,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB2_PD8_ODW2,SP01,5,2,8,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,441,0,19,111,119,130,136,111,False,False,False,,2,432,72.56235827664399,2.2675736961451247,0.22982991105473524,0.022675736961451247,0.3025412221672711,0.27366521667827987,0.6842105263157895,0.6842105263157895,2.142926706363857,1.0361445484436624,1.7075697549208197,0.8391000000000001,0.4455641053396959,1.0,flat_holding_front,False,True,True,False,0.4323253722051869,0.604701390885938,flat_holding_front,False,True,False,False,0.574963858287801,0.7858855871661045,0.1680909090909091,0.3254999999999999,0.8319090909090909,0.4455548460757857,1.0,0.04390909090909092,0.1455,0.9560909090909091,0.45772261672501496,1.0,1.097318455355886,0.15244998565976742,-0.012885702794577996,0.0,121,B,,138,B,0,19,321,59.940809968847354,59.940809968847354,1.0,9761b08bc05d30ec155457ca2fdcad90eb4970b748bf5a9d7c8797dbef43a954,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB2_PD8_ODW8,SP01,5,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,415,0,28,110,118,129,135,110,False,False,False,,2,406,65.06024096385542,2.4096385542168677,0.23909493787922598,0.024096385542168676,0.30559035355546516,0.22316196635170293,0.6141386410432393,0.6,2.0758915691238715,0.7754045989053857,1.7231927079501073,0.8929,0.4362903734700747,1.0,unstable_penetration_wedge,True,True,True,False,0.3860363528136558,0.5605906926834746,mixed_front,False,True,False,False,0.4981278796479484,0.7059850651885999,0.10605504587155964,0.20999999999999996,0.8939449541284403,0.4366550009135208,1.0,0.04697247706422018,0.13,0.9530275229357799,0.4563533775192326,1.0,0.8814599126595538,0.27984585291050657,0.0007061437144955035,0.0,121,B,,149,B,0,28,296,62.54054054054054,62.54054054054054,1.0,1666fd5c35bca30dc30c2b4ab9e6b140ec352c012d6672bc026435b9a505a82a,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB5_PD2_ODW2,SP01,5,5,2,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,447,0,23,111,118,130,136,111,False,False,False,,,438,0.0,2.237136465324385,0.0,0.02237136465324385,0.21106812230013913,0.21913709981187102,0.5098039215686274,0.4924999999999997,2.0576033633706885,0.9241836657727439,1.737655152215087,0.8109999999999998,0.44021636112302664,1.0,flat_holding_front,False,True,True,False,0.37860228630696946,0.5614134033896313,mixed_front,False,True,False,False,0.5267483431122225,0.7051849146636057,0.19090909090909092,0.31999999999999995,0.8090909090909091,0.4408199875756182,1.0,0.050818181818181825,0.17000000000000004,0.9491818181818181,0.459027458111457,1.0,0.9956688114311828,0.06848816380300371,-0.02202720023928598,0.0,118,B,,147,B,0,23,327,57.30275229357798,57.30275229357798,1.0,219d27e410b814535cd1d72956ce0a8b46f8582447bd97308ead76fed76cc025,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB5_PD2_ODW8,SP01,5,5,2,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,478,0,13,109,118,128,135,109,False,False,False,,,469,0.0,2.092050209205021,0.0,0.02092050209205021,0.3115696642763562,0.24299375729849682,0.6521739130434783,0.6666666666666667,2.0269885306483575,0.7101568825993022,1.7251284554321602,0.8926999999999999,0.43243337870447507,1.0,unstable_penetration_wedge,True,True,True,False,0.27765473294610044,0.3914667634487604,flat_holding_front,False,True,False,False,0.3649629983215617,0.5492736016997889,0.105,0.2364999999999999,0.895,0.43385731433235875,1.0,0.062314814814814816,0.2129999999999998,0.9376851851851852,0.45620795101572414,1.0,0.8703803793731026,0.44694285139590684,0.0013088768063465519,0.0,124,B,,182,B,0,13,360,54.80833333333333,54.80833333333333,1.0,3515b45a28d8f336baa93ec0eedc21ae1d242dc960649ce6c1d6e63b8158daf9,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB5_PD5_ODW2,SP01,5,5,5,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,487,0,14,111,119,130,136,111,False,False,False,,126,478,25.872689938398356,2.0533880903490758,0.05678702751192465,0.02053388090349076,0.29351344408119456,0.2798040651114162,0.6666666666666667,0.5714285714285714,2.105679566882918,1.0094649940696667,1.7223936021823099,0.8188,0.4425512573640904,1.0,flat_holding_front,False,True,True,False,0.35192128406279166,0.49023997089793064,flat_holding_front,False,True,False,False,0.4948659759711523,0.6744031005722553,0.18536363636363637,0.3364999999999999,0.8146363636363636,0.4427352209838294,1.0,0.04490909090909092,0.1455,0.9550909090909091,0.4574962246665327,1.0,1.052167391097339,-0.0033444223450289634,-0.020556990174208437,0.0,119,B,,136,B,0,14,367,53.664850136239785,53.664850136239785,1.0,c3827884d874caf4c4fd79800641aadde43246d6c9915ad045d43dcc7b4845af,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
A_a025_s010_q1__SP01_FR5_MB5_PD5_ODW8,SP01,5,5,5,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 5.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,558,0,6,109,118,128,135,109,False,False,False,,129,549,20.967741935483872,1.7921146953405018,0.053315985486167734,0.017921146953405017,0.31340490071607574,0.25097411956040105,0.6666666666666667,0.6666666666666667,2.045583736804808,0.7688663778977112,1.7432978316076233,0.8791999999999999,0.43466302456318906,1.0,unstable_penetration_wedge,True,True,True,False,0.31806442134866186,0.495334854759111,flat_holding_front,False,True,False,False,0.43872097147655315,0.6482440963488982,0.1174074074074074,0.26,0.8825925925925926,0.43569975560665886,1.0,0.0737962962962963,0.20649999999999985,0.9262037037037038,0.4580785535037419,1.0,0.8932941640995236,0.42392717840615957,0.00045433315343284836,0.0,118,B,233,138,B,3,7,440,46.356818181818184,46.356818181818184,1.0,28cada46bb07ba9e2137b54cf7cc40b332be91da046df723ab7ddfdfbfdfd6e9,A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,fr_authority_doe_run_table.csv
