candidate_id,candidate_family,candidate_mode,a,sigma,p,q,beta,gamma,ranking_advisory_only,controls_all_preserved,pd8_sentinels_improved,protected_cell_not_harmed,hard_constraint_pass,failed_controls,failed_pd8_sentinels,mean_control_win_delta,mean_pd8_sentinel_win_delta,protected_cell_win_delta,odw_readability_delta,pd_selectivity_delta,pd5_mb_shoulder_contrast_delta,mb8_pd5_win_delta,mean_runtime_c_conn_delta,mean_runtime_collapse_delta,smoothness_score
A_a015_s010_q1,A,candidate_a,0.15,0.1,1.0,1.0,0.0,0.0,True,True,False,False,False,,FR5_MB2_PD8_ODW8,25.0,50.0,-100.0,-0.07099658020933476,50.0,0.0,0.0,-0.0025615835009644705,0.0025615835009644484,-0.04999999999999999
A_a015_s010_q2,A,candidate_a,0.15,0.1,1.0,2.0,0.0,0.0,True,True,False,True,False,,FR5_MB2_PD8_ODW8,0.0,50.0,0.0,-0.08785368451503783,0.0,50.0,0.0,-0.0025615835009644705,0.0025615835009644484,-0.04999999999999999
A_a015_s010_q3,A,candidate_a,0.15,0.1,1.0,3.0,0.0,0.0,True,True,False,False,False,,FR5_MB2_PD8_ODW8,25.0,50.0,-100.0,-0.05551936173076093,66.66666666666667,0.0,50.0,-0.0025615835009644705,0.0025615835009644484,-0.04999999999999999
A_a015_s015_q1,A,candidate_a,0.15,0.15,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.048253115212017084,50.0,0.0,50.0,-0.005424776492648487,0.005424776492648473,0.0
A_a015_s015_q2,A,candidate_a,0.15,0.15,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.053665933910244115,50.0,-50.0,50.0,-0.005424776492648487,0.005424776492648473,0.0
A_a015_s015_q3,A,candidate_a,0.15,0.15,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.057035899116855145,16.666666666666664,-50.0,50.0,-0.005424776492648487,0.005424776492648473,0.0
A_a015_s020_q1,A,candidate_a,0.15,0.2,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.0887060954844954,50.0,-50.0,50.0,-0.007626846098072137,0.00762684609807212,0.05000000000000002
A_a015_s020_q2,A,candidate_a,0.15,0.2,1.0,2.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.08394078404000986,16.666666666666664,-50.0,50.0,-0.007626846098072137,0.00762684609807212,0.05000000000000002
A_a015_s020_q3,A,candidate_a,0.15,0.2,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.08912920184341346,16.666666666666664,0.0,50.0,-0.007626846098072137,0.00762684609807212,0.05000000000000002
A_a025_s010_q1,A,candidate_a,0.25,0.1,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.0690605041076473,33.33333333333333,0.0,0.0,-0.011326172468325598,0.01132617246832559,-0.15
A_a025_s010_q2,A,candidate_a,0.25,0.1,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.07516717966060368,33.33333333333333,50.0,0.0,-0.011326172468325598,0.01132617246832559,-0.15
A_a025_s010_q3,A,candidate_a,0.25,0.1,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.0711819238955687,16.666666666666664,0.0,0.0,-0.011326172468325598,0.01132617246832559,-0.15
A_a025_s015_q1,A,candidate_a,0.25,0.15,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8,0.0,50.0,-100.0,-0.05843298779625324,16.666666666666664,50.0,0.0,-0.008544359699783238,0.008544359699783224,-0.1
A_a025_s015_q2,A,candidate_a,0.25,0.15,1.0,2.0,0.0,0.0,True,False,False,False,False,FR8_MB2_PD2_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.05904462904003266,66.66666666666667,-50.0,50.0,-0.008544359699783238,0.008544359699783224,-0.1
A_a025_s015_q3,A,candidate_a,0.25,0.15,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.03297018722205554,83.33333333333334,-50.0,50.0,-0.008544359699783238,0.008544359699783224,-0.1
A_a025_s020_q1,A,candidate_a,0.25,0.2,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.0789890637647406,33.33333333333333,-50.0,100.0,-0.009021351225688172,0.009021351225688173,-0.04999999999999999
A_a025_s020_q2,A,candidate_a,0.25,0.2,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,0.0,-0.06296171442261486,50.0,-50.0,50.0,-0.009021351225688172,0.009021351225688173,-0.04999999999999999
A_a025_s020_q3,A,candidate_a,0.25,0.2,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8,0.0,50.0,-100.0,-0.05439423485251019,50.0,-50.0,50.0,-0.009021351225688172,0.009021351225688173,-0.04999999999999999
A_a035_s010_q1,A,candidate_a,0.35,0.1,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.07000568692301312,50.0,-50.0,50.0,-0.012970169613414012,0.012970169613413983,-0.24999999999999997
A_a035_s010_q2,A,candidate_a,0.35,0.1,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.05861322058205417,16.666666666666664,0.0,0.0,-0.012970169613414012,0.012970169613413983,-0.24999999999999997
A_a035_s010_q3,A,candidate_a,0.35,0.1,1.0,3.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.06445649406423712,16.666666666666664,-50.0,50.0,-0.012970169613414012,0.012970169613413983,-0.24999999999999997
A_a035_s015_q1,A,candidate_a,0.35,0.15,1.0,1.0,0.0,0.0,True,False,False,True,False,FR8_MB2_PD2_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.06837378932977943,33.33333333333333,-50.0,50.0,-0.01699786836379832,0.0169978683637983,-0.19999999999999998
A_a035_s015_q2,A,candidate_a,0.35,0.15,1.0,2.0,0.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.06267632430904665,33.33333333333333,0.0,0.0,-0.01699786836379832,0.0169978683637983,-0.19999999999999998
A_a035_s015_q3,A,candidate_a,0.35,0.15,1.0,3.0,0.0,0.0,True,True,False,True,False,,FR5_MB2_PD8_ODW8,0.0,50.0,0.0,-0.07277222043511364,66.66666666666667,-100.0,100.0,-0.01699786836379832,0.0169978683637983,-0.19999999999999998
A_a035_s020_q1,A,candidate_a,0.35,0.2,1.0,1.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.07292181928633856,50.0,-50.0,50.0,-0.01254805829138609,0.012548058291386065,-0.14999999999999997
A_a035_s020_q2,A,candidate_a,0.35,0.2,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.04861652451232831,33.33333333333333,0.0,0.0,-0.01254805829138609,0.012548058291386065,-0.14999999999999997
A_a035_s020_q3,A,candidate_a,0.35,0.2,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.0420671526599622,33.33333333333333,0.0,0.0,-0.01254805829138609,0.012548058291386065,-0.14999999999999997
A_a045_s010_q1,A,candidate_a,0.45,0.1,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.07611260476070911,33.33333333333333,-50.0,50.0,-0.02087541554097019,0.02087541554097017,-0.35
A_a045_s010_q2,A,candidate_a,0.45,0.1,1.0,2.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.08404464483096082,50.0,0.0,0.0,-0.02087541554097019,0.02087541554097017,-0.35
A_a045_s010_q3,A,candidate_a,0.45,0.1,1.0,3.0,0.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,-100.0,-0.0862916236731419,33.33333333333333,0.0,0.0,-0.02087541554097019,0.02087541554097017,-0.35
A_a045_s015_q1,A,candidate_a,0.45,0.15,1.0,1.0,0.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.09235626741448594,16.666666666666664,-50.0,50.0,-0.02433212803479694,0.024332128034796927,-0.30000000000000004
