candidate_id,ranking_advisory_only,controls_all_preserved,pd8_sentinels_improved,protected_cell_not_harmed,hard_constraint_pass,failed_controls,failed_pd8_sentinels,protected_cell_win_delta
A_a015_s010_q1,True,True,False,False,False,,FR5_MB2_PD8_ODW8,-100.0
A_a015_s010_q2,True,True,False,True,False,,FR5_MB2_PD8_ODW8,0.0
A_a015_s010_q3,True,True,False,False,False,,FR5_MB2_PD8_ODW8,-100.0
A_a015_s015_q1,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a015_s015_q2,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0
A_a015_s015_q3,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a015_s020_q1,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a015_s020_q2,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a015_s020_q3,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s010_q1,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s010_q2,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s010_q3,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s015_q1,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8,-100.0
A_a025_s015_q2,True,False,False,False,False,FR8_MB2_PD2_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s015_q3,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s020_q1,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a025_s020_q2,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0
A_a025_s020_q3,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8,-100.0
A_a035_s010_q1,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a035_s010_q2,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a035_s010_q3,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
A_a035_s015_q1,True,False,False,True,False,FR8_MB2_PD2_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0
A_a035_s015_q2,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0
A_a035_s015_q3,True,True,False,True,False,,FR5_MB2_PD8_ODW8,0.0
A_a035_s020_q1,True,False,False,False,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-100.0
