run_id,seed_profile_id,cell_FR,cell_MB,cell_PD,cell_ODW,movement_model,movement_model_requested,movement_model_effective,runtime_decision_source_requested,runtime_decision_source_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,odw_posture_bias_enabled_effective,odw_posture_bias_k_effective,odw_posture_bias_clip_delta_effective,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,opponent_archetype_id,side_a_vector,opponent_vector,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,first_damage_tick,missing_cut,pocket_without_cut,event_order_anomaly,event_order_anomaly_label,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,precontact_ar_forward_p90_A,precontact_wedge_ratio_p10_A,precontact_split_separation_p90_A,precontact_c_conn_mean_A,precontact_rho_mean_A,precontact_c_scale_mean_A,front_profile_A,wedge_present_A,local_penetration_A,structural_fragility_A,posture_coherence_A,fire_eff_contact_to_cut_mean_A,fire_eff_contact_to_cut_p90_A,front_profile_B,wedge_present_B,local_penetration_B,structural_fragility_B,posture_coherence_B,fire_eff_contact_to_cut_mean_B,fire_eff_contact_to_cut_p90_B,runtime_collapse_sig_mean_A,runtime_collapse_sig_p95_A,runtime_c_conn_mean_A,runtime_rho_mean_A,runtime_c_scale_mean_A,runtime_collapse_sig_mean_B,runtime_collapse_sig_p95_B,runtime_c_conn_mean_B,runtime_rho_mean_B,runtime_c_scale_mean_B,precontact_wedge_p50_A,precontact_frontcurv_p50_A,precontact_cw_pshare_p50_A,precontact_pospersist_max_abs_A,first_alive_lead_tick,first_alive_lead_side,first_alive_lead_change_tick,first_major_divergence_tick,first_major_divergence_side,max_alive_lead_A,max_alive_lead_B,contact_ticks,mean_in_contact_count_contact_phase,mean_damage_events_count_contact_phase,damage_events_per_contact_pair_proxy,determinism_digest
SP01_FR2_MB2_PD2_ODW2,SP01,2,2,2,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,510,8,0,113,121,132,137,113,False,False,False,,501,,1.9607843137254901,0.0,0.0196078431372549,0.0,0.27537913461552055,0.2735019859403005,0.625,0.6286184210526313,2.2266238110760628,1.0531037663791205,1.7197048388006162,0.9808999999999998,0.4639515110937314,1.0,flat_holding_front,False,True,False,False,0.5594842598624655,0.7331884229735058,flat_holding_front,False,True,False,False,0.49675316702247574,0.6808898894567408,0.023571428571428583,0.05449999999999994,0.9764285714285714,0.46279733818977864,1.0,0.07482142857142858,0.22449999999999987,0.9251785714285714,0.4579315678194093,1.0,1.1890384648981553,0.16838177919216468,-0.01068237754514861,0.0,121,A,124,182,A,8,2,388,52.141752577319586,52.141752577319586,1.0,591c3f57a5c6b1dc9c4da5048f23c47adcc681808308ebd6c19542822977348f
SP01_FR2_MB2_PD2_ODW8,SP01,2,2,2,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,474,0,11,112,120,131,137,112,False,False,False,,,465,0.0,2.109704641350211,0.0,0.02109704641350211,0.24808639454967368,0.2872325420726126,0.6428571428571428,0.75,2.2226318170916017,0.9434710138758297,1.7233231529105661,0.9721999999999994,0.458769653650508,1.0,flat_holding_front,False,True,False,False,0.5199932492368035,0.702715039734577,flat_holding_front,False,True,False,False,0.48114076295905855,0.6281649802027478,0.035945945945945953,0.125,0.9640540540540541,0.45725975314100115,1.0,0.06981981981981981,0.22999999999999998,0.9301801801801802,0.45646530037849253,1.0,0.9873515231092336,0.18424480618897698,-0.0007587951585453274,0.0,120,B,125,193,B,2,11,353,56.11898016997167,56.11898016997167,1.0,14a2de1248c6e1991fae04013923b74b8189139cb8f977f782e413e11248be50
SP01_FR2_MB2_PD5_ODW2,SP01,2,2,5,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,554,4,0,113,121,132,137,113,False,False,False,,223,,20.938628158844764,0.0,0.05455771811355898,0.0,0.31169136348850934,0.3449682337637373,0.6666666666666667,0.75,2.2266238110760628,1.0531037663791205,1.7197048388006162,0.9808999999999998,0.4639515110937314,1.0,flat_holding_front,False,True,False,False,0.5594842598624655,0.7331884229735058,flat_holding_front,False,True,False,False,0.49675316702247574,0.6808898894567408,0.023571428571428583,0.05449999999999994,0.9764285714285714,0.46279733818977864,1.0,0.07482142857142858,0.22449999999999987,0.9251785714285714,0.4579315678194093,1.0,1.1890384648981553,0.16838177919216468,-0.01068237754514861,0.0,121,A,124,182,A,5,1,432,47.682870370370374,47.682870370370374,1.0,aa4d407147f2cb8189721423b52f199b36ea499b557f21bb18dce68b351e73be
SP01_FR2_MB2_PD5_ODW8,SP01,2,2,5,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,457,0,15,112,120,131,137,112,False,False,False,,224,448,5.470459518599562,2.1881838074398248,0.005476825939562457,0.02188183807439825,0.2346413819054834,0.24165247924150887,0.5195767195767196,0.6740740740740737,2.2226318170916017,0.9434710138758297,1.7233231529105661,0.9721999999999994,0.458769653650508,1.0,flat_holding_front,False,True,False,False,0.5199932492368035,0.702715039734577,flat_holding_front,False,True,False,False,0.48114076295905855,0.6281649802027478,0.035945945945945953,0.125,0.9640540540540541,0.45725975314100115,1.0,0.06981981981981981,0.22999999999999998,0.9301801801801802,0.45646530037849253,1.0,0.9873515231092336,0.18424480618897698,-0.0007587951585453274,0.0,120,B,125,193,B,2,15,336,58.38095238095238,58.38095238095238,1.0,546d5a3cd7c94a2abf5c8fdefc7481dd7395de0b2450edb404d960e93089bbe1
SP01_FR2_MB2_PD8_ODW2,SP01,2,2,8,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,441,17,0,113,121,132,137,113,False,False,False,,2,,75.51020408163265,0.0,0.2286308786103144,0.0,0.3066736832012811,0.2563759962162293,0.75,0.6521739130434783,2.2228136521848336,1.0421253164705437,1.7187105099090176,0.9518999999999999,0.46297487715708024,1.0,flat_holding_front,False,True,False,False,0.5743050404446826,0.7305571923641977,flat_holding_front,False,True,False,False,0.5435283924572023,0.7067252990242108,0.06000000000000001,0.18000000000000005,0.94,0.4617902577183483,1.0,0.07633928571428572,0.24449999999999988,0.9236607142857143,0.45567829027344825,1.0,1.1479539024964063,0.20572660257912734,-0.009025035906770729,0.0,123,A,148,139,A,17,1,319,60.874608150470216,60.874608150470216,1.0,84bac508eb128604f40cbaaaa80fbd839e9f29f2d5f13f7345105b2560db3cde
SP01_FR2_MB2_PD8_ODW8,SP01,2,2,8,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 8.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",A,546,5,0,113,121,132,136,113,False,False,False,,2,,71.06227106227107,0.0,0.20622488342406506,0.0,0.28455875814117376,0.26120806262419255,0.6666666666666667,0.6076845298281093,2.2195705089853734,0.979487141163618,1.7201744640650434,0.9696999999999995,0.45909346043985005,1.0,mixed_front,False,True,False,False,0.5496682995735238,0.7082047341944829,flat_holding_front,False,True,False,False,0.5332346714748685,0.6938477586747755,0.035357142857142865,0.1344999999999999,0.9646428571428571,0.4576877994843078,1.0,0.06919642857142858,0.21999999999999997,0.9308035714285714,0.4579519543460033,1.0,0.9958796974673194,0.27774729933547104,-0.0005564588625738662,0.0,123,A,126,536,A,5,3,424,48.68632075471698,48.68632075471698,1.0,8e8db99eee1641b291317bf2c7c77493b095b04c78044ae3f5d0918f1fd1875c
SP01_FR2_MB5_PD2_ODW2,SP01,2,5,2,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,513,0,9,113,121,134,137,113,False,False,False,,,504,0.0,1.949317738791423,0.0,0.01949317738791423,0.25698772097367045,0.41980734422144167,0.6666666666666667,0.7465116279069766,2.209927255804739,1.0640527305096297,1.7169440828404112,0.7811999999999999,0.4641544949361442,1.0,flat_holding_front,False,True,True,False,0.5119101901108914,0.6807753395014238,flat_holding_front,False,True,False,False,0.5243074749647736,0.6905483630211369,0.24223214285714287,0.6644999999999999,0.7577678571428571,0.4628624851069903,1.0,0.05267857142857144,0.20899999999999974,0.9473214285714285,0.457936237437711,1.0,1.215768023005444,0.11127718444852008,-0.01484992555451168,0.0,124,B,126,219,B,2,9,391,51.41432225063939,51.41432225063939,1.0,be8aa3a98aadf7e5336f8497de78dcd4a50edf2174c95f2490470a3759bc06fc
SP01_FR2_MB5_PD2_ODW8,SP01,2,5,2,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,485,0,10,113,121,132,138,113,False,False,False,,,476,0.0,2.0618556701030926,0.0,0.020618556701030927,0.25364266755395803,0.35764763722042325,0.6,0.7595238095238089,2.2197567674052006,0.9842998693051148,1.7163690053514569,0.9164999999999998,0.46146866003776715,1.0,flat_holding_front,False,True,True,False,0.4949379523084557,0.6419934634904031,flat_holding_front,False,True,False,False,0.48619570401972423,0.6213616097513317,0.10357142857142858,0.3689999999999998,0.8964285714285715,0.4597144139565977,1.0,0.04473214285714287,0.14,0.9552678571428571,0.4584302592351022,1.0,1.0192104061266236,0.13646025992069544,-0.0005906245432423848,0.0,123,B,136,239,B,1,10,363,55.27272727272727,55.27272727272727,1.0,490786e4086f703118dc2d5bcc3a3ca4a818a252b035d00b724bf9068a0614db
SP01_FR2_MB5_PD5_ODW2,SP01,2,5,5,2,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 2.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,563,0,4,113,121,134,137,113,False,False,False,,157,554,22.02486678507993,1.7761989342806395,0.06648149591155617,0.017761989342806393,0.3207084061297332,0.4570330646625497,0.75,0.7639928698752226,2.209927255804739,1.0640527305096297,1.7169440828404112,0.7811999999999999,0.4641544949361442,1.0,flat_holding_front,False,True,True,False,0.5119101901108914,0.6807753395014238,flat_holding_front,False,True,False,False,0.5243074749647736,0.6905483630211369,0.24223214285714287,0.6644999999999999,0.7577678571428571,0.4628624851069903,1.0,0.05267857142857144,0.20899999999999974,0.9473214285714285,0.457936237437711,1.0,1.215768023005444,0.11127718444852008,-0.01484992555451168,0.0,124,B,126,,N/A,3,4,441,46.580498866213155,46.580498866213155,1.0,b53a5ece2c6a10efe3604f4c9dbf0042006d6678357fe5042331c4dad98e186d
SP01_FR2_MB5_PD5_ODW8,SP01,2,5,5,8,v3a,baseline,v3a,baseline,v3_test,exp_precontact_centroid_probe,0.5,True,0.5,0.4,223325105,428453577,1876258475,controlled_baseline_B,"{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 5.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 5.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}","{""force_concentration_ratio"": 5.0, ""formation_rigidity"": 2.0, ""mobility_bias"": 2.0, ""offense_defense_weight"": 8.0, ""perception_radius"": 5.0, ""pursuit_drive"": 2.0, ""retreat_threshold"": 5.0, ""risk_appetite"": 5.0, ""targeting_logic"": 5.0, ""time_preference"": 5.0}",B,486,0,11,113,121,132,138,113,False,False,False,,146,477,9.053497942386832,2.05761316872428,0.017323378455726367,0.0205761316872428,0.2322860690516752,0.3421899815105276,0.5833333333333333,0.7142857142857143,2.2197567674052006,0.9842998693051148,1.7163690053514569,0.9164999999999998,0.46146866003776715,1.0,flat_holding_front,False,True,True,False,0.4949379523084557,0.6419934634904031,flat_holding_front,False,True,False,False,0.48619570401972423,0.6213616097513317,0.10357142857142858,0.3689999999999998,0.8964285714285715,0.4597144139565977,1.0,0.04473214285714287,0.14,0.9552678571428571,0.4584302592351022,1.0,1.0192104061266236,0.13646025992069544,-0.0005906245432423848,0.0,123,B,136,272,B,1,11,364,54.93131868131868,54.93131868131868,1.0,8ba77e288f96463a5feceeba8169f1d4f08e9a0f1f5ff3b7d8005afb026ed42a
