origin_a,origin_b,aspect_ratio,fleet_size,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,1.0,50,120,0.16425613996093702,0.16636494359650184,0.2891010074823429,0.00973888541163906,0.002018866434049339,0.004693644154219653,50,50,0.0,120
10.0,190.0,1.0,75,118,0.11719387034457192,0.10085439279578595,0.34958882937777674,0.0038006505155329393,0.001436288181053177,0.0023659249030595006,75,75,0.0,120
10.0,190.0,1.0,100,117,0.25278471607059877,0.4196458101806062,0.5239364334722129,0.007383379898549023,0.008742735415486848,0.003922909013183462,100,100,0.0,120
10.0,190.0,1.0,125,116,0.19550933014944877,0.1805433608851928,0.16484211203242177,0.009694552357707045,0.002245385802376415,0.0020796327469377943,125,125,0.0,120
10.0,190.0,1.0,150,114,0.08010528525418532,0.13770877907171,0.19301434835623626,0.0047520315950642655,0.0026468379100462167,0.00114595016759122,150,150,0.0,120
10.0,190.0,1.5,50,119,0.10606120243190639,0.047768957490704755,0.3679291349210874,0.004357484974383248,0.004263152641951932,0.004553956580817899,50,50,0.0,120
10.0,190.0,1.5,75,117,0.15424147636842164,0.2202952178413265,0.1721643949369258,0.005706957109811792,0.00266020712060596,0.0016520173328900664,75,75,0.0,120
10.0,190.0,1.5,100,115,0.1592787390562601,0.15551052935182247,0.21912668726218723,0.00489963101522364,0.003940308285435563,0.0019467999960071315,100,100,0.0,120
10.0,190.0,1.5,125,114,0.09044203404713584,0.09645175352620333,0.2103620105497438,0.007793003555248418,0.004119077685265378,0.002556625555708981,125,125,0.0,120
10.0,190.0,1.5,150,114,0.09470839800709896,0.12050630571393912,0.2522459819153716,0.005043989104442892,0.0022519185843851456,0.0023376090615296816,150,150,0.0,120
10.0,190.0,2.0,50,119,0.17217668821219306,0.16550429881983283,0.18781105616725716,0.007979429760159416,0.0044242176234263195,0.005151782753191058,50,50,0.0,120
10.0,190.0,2.0,75,115,0.1385676706132124,0.1649113132808507,0.16925823399386447,0.0062164863194254325,0.0015704940596098786,0.0026651894344573777,75,75,0.0,120
10.0,190.0,2.0,100,115,0.22187989935743918,0.06548204635652637,0.15416936428705358,0.005581530147313886,0.0028101015250289363,0.003957380290726142,100,100,0.0,120
10.0,190.0,2.0,125,113,0.1781369752105548,0.22598270163238582,0.18382585832147033,0.004586343564569856,0.004223483909967682,0.0013976449648918227,125,125,0.0,120
10.0,190.0,2.0,150,113,0.05321447556207939,0.10277084589000454,0.13442255123324526,0.0034799318346080653,0.004131848833495384,0.003101418420115029,150,150,0.0,120
10.0,190.0,2.5,50,115,0.1528526052800504,0.14588249587270435,0.6063877337983716,0.008598487238858468,0.003659235876090439,0.0026099492233614386,50,50,0.0,120
10.0,190.0,2.5,75,114,0.11999015984507691,0.18180986543697156,0.21883758145038373,0.006120699323335231,0.001622472714612536,0.002596533998228896,75,75,0.0,120
10.0,190.0,2.5,100,113,0.06114125969512838,0.0868468235434244,0.2348605097335454,0.0051553805264118345,0.0019462642274548757,0.002941482899341125,100,100,0.0,120
10.0,190.0,2.5,125,112,0.0395751985776968,0.07595871652165741,0.13007729000810953,0.004364916265047031,0.0018981133009034292,0.001631267336471686,125,125,0.0,120
10.0,190.0,2.5,150,113,0.1008223993272295,0.1045032376238022,0.20912640352718018,0.0034807399208004347,0.00225049866562961,0.001802691139197582,150,150,0.0,120
10.0,190.0,3.0,50,115,0.1528526052800504,0.14588249587270435,0.6063877337983716,0.008598487238858468,0.003659235876090439,0.0026099492233614386,50,50,0.0,120
10.0,190.0,3.0,75,114,0.11999015984507691,0.18180986543697156,0.21883758145038373,0.006120699323335231,0.001622472714612536,0.002596533998228896,75,75,0.0,120
10.0,190.0,3.0,100,113,0.09064416006687417,0.15015492385728066,0.304653271367358,0.006369044600382194,0.003671727242611523,0.0033279218469902706,100,100,0.0,120
10.0,190.0,3.0,125,113,0.050336702640831864,0.09175144098964069,0.16928740309269702,0.004340628059939271,0.00224843479773963,0.002039488121476105,125,125,0.0,120
10.0,190.0,3.0,150,112,0.064789117905976,0.04637148247012575,0.18528397252848175,0.00359871944350619,0.0024652836484728388,0.003245421565066056,150,150,0.0,120
