origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,1.0,50,1.0,3.0,,0.24804670272341378,0.20662722883906326,0.4245642474573914,0.005899325070544551,0.0021421160036650413,0.0022614485814798878,50,50,0.0,120
10.0,190.0,1.0,50,1.0,5.0,,0.24804670272341378,0.20662722883906326,0.4245642474573914,0.005899325070544551,0.0021421160036650413,0.0022614485814798878,50,50,0.0,120
10.0,190.0,1.0,50,1.0,7.0,,0.24804670272341378,0.20662722883906326,0.4245642474573914,0.005899325070544551,0.0021421160036650413,0.0022614485814798878,50,50,0.0,120
10.0,190.0,1.0,50,2.0,3.0,,0.16425613996093702,0.16636494359650184,0.2891010074823429,0.00973888541163906,0.002018866434049339,0.004693644154219653,50,50,0.0,120
10.0,190.0,1.0,50,2.0,5.0,120,0.16425613996093702,0.16636494359650184,0.2891010074823429,0.00973888541163906,0.002018866434049339,0.004693644154219653,50,50,0.0,120
10.0,190.0,1.0,50,2.0,7.0,120,0.16425613996093702,0.16636494359650184,0.2891010074823429,0.00973888541163906,0.002018866434049339,0.004693644154219653,50,50,0.0,120
10.0,190.0,1.0,50,3.0,3.0,,0.08157132805158036,0.024664261362404318,0.1149906990954925,0.0061518369329619715,0.002161057643431175,0.002159507325900763,50,50,0.0,120
10.0,190.0,1.0,50,3.0,5.0,118,0.08157132805158036,0.024664261362404318,0.1149906990954925,0.0061518369329619715,0.002161057643431175,0.002159507325900763,50,50,0.0,120
10.0,190.0,1.0,50,3.0,7.0,117,0.08157132805158036,0.024664261362404318,0.1149906990954925,0.0061518369329619715,0.002161057643431175,0.002159507325900763,50,50,0.0,120
10.0,190.0,1.0,75,1.0,3.0,,0.21756848528895575,0.3113555003873737,0.38991545988811904,0.004052114901891268,0.0016203675917081822,0.002091294834375107,75,75,0.0,120
10.0,190.0,1.0,75,1.0,5.0,,0.21756848528895575,0.3113555003873737,0.38991545988811904,0.004052114901891268,0.0016203675917081822,0.002091294834375107,75,75,0.0,120
