config_id,mode,repulsion_v1_strength,repulsion_v1_radius_multiplier,v2_radius_multiplier,v2_repulsion_max_disp_ratio,v2_forward_damping_strength,mean_severity_delta_pct,mean_deep_ratio_delta_pct,exception_pass_all_minsep,neutral_close_pass_all_minsep,neutral_long_pass_all_minsep,phase1_pass
damping_v2_r100_d020,damping_v2,0.35,1.5,1.0,0.0,0.2,-4.614708904828616,-32.35778989226785,0,0,1,0
damping_v2_r100_d035,damping_v2,0.35,1.5,1.0,0.0,0.35,1.5602626496837608,-3.0975314746546885,0,0,1,0
damping_v2_r100_d050,damping_v2,0.35,1.5,1.0,0.0,0.5,-3.553481805488756,-8.127105208472292,0,1,1,0
damping_v2_r100_d065,damping_v2,0.35,1.5,1.0,0.0,0.65,-5.527992407214571,-30.66901965983004,0,0,1,0
damping_v2_r100_d080,damping_v2,0.35,1.5,1.0,0.0,0.8,-7.057146547960661,-39.90005339117975,0,0,1,0
damping_v2_r100_d095,damping_v2,0.35,1.5,1.0,0.0,0.95,-18.790335463158847,-133.35403851642218,0,0,1,0
damping_v2_r125_d020,damping_v2,0.35,1.5,1.25,0.0,0.2,-4.140089835583199,1.7599372217611973,0,0,1,0
damping_v2_r125_d035,damping_v2,0.35,1.5,1.25,0.0,0.35,-13.82469725328894,-58.672028728743406,0,0,1,0
damping_v2_r125_d050,damping_v2,0.35,1.5,1.25,0.0,0.5,-28.966980994804885,-147.90331836882498,0,0,1,0
damping_v2_r125_d065,damping_v2,0.35,1.5,1.25,0.0,0.65,-33.57278296506195,-152.08335435111437,0,0,1,0
damping_v2_r125_d080,damping_v2,0.35,1.5,1.25,0.0,0.8,-37.69536755670978,-155.30012198919968,0,0,1,0
damping_v2_r125_d095,damping_v2,0.35,1.5,1.25,0.0,0.95,-50.59915058783624,-226.8149591416749,0,0,1,0
damping_v2_r150_d020,damping_v2,0.35,1.5,1.5,0.0,0.2,-9.58480725870012,-39.31607454184522,0,0,1,0
damping_v2_r150_d035,damping_v2,0.35,1.5,1.5,0.0,0.35,-28.547706756819032,-147.61249955013574,0,0,1,0
damping_v2_r150_d050,damping_v2,0.35,1.5,1.5,0.0,0.5,-44.91631785149415,-208.05486401166362,0,0,1,0
damping_v2_r150_d065,damping_v2,0.35,1.5,1.5,0.0,0.65,-49.0737176196331,-233.284375187565,0,0,1,0
damping_v2_r150_d080,damping_v2,0.35,1.5,1.5,0.0,0.8,-54.02914901850208,-156.78940879962178,0,0,1,0
damping_v2_r150_d095,damping_v2,0.35,1.5,1.5,0.0,0.95,-46.23580709961297,-104.22045845076528,0,0,1,0
damping_v2_r175_d020,damping_v2,0.35,1.5,1.75,0.0,0.2,-15.171020897037863,-130.50350264911216,0,1,1,0
damping_v2_r175_d035,damping_v2,0.35,1.5,1.75,0.0,0.35,-36.45852292227535,-176.0849555187643,0,0,1,0
damping_v2_r175_d050,damping_v2,0.35,1.5,1.75,0.0,0.5,-49.981954273650295,-254.6174102789377,0,0,1,0
damping_v2_r175_d065,damping_v2,0.35,1.5,1.75,0.0,0.65,-55.29491702162733,-218.45316496963113,0,0,1,0
damping_v2_r175_d080,damping_v2,0.35,1.5,1.75,0.0,0.8,-49.82262089559869,-141.48737911551302,0,1,1,0
damping_v2_r175_d095,damping_v2,0.35,1.5,1.75,0.0,0.95,-51.098799692494076,-162.47476073715097,0,1,1,0
damping_v2_r200_d020,damping_v2,0.35,1.5,2.0,0.0,0.2,-16.589300040555717,-107.21834547125721,0,0,1,0
damping_v2_r200_d035,damping_v2,0.35,1.5,2.0,0.0,0.35,-32.67917570410607,-194.74205934864605,0,0,1,0
damping_v2_r200_d050,damping_v2,0.35,1.5,2.0,0.0,0.5,-44.90220271302712,-200.39376317997866,0,1,1,0
damping_v2_r200_d065,damping_v2,0.35,1.5,2.0,0.0,0.65,-53.35281789483996,-166.2447555750416,0,1,1,0
damping_v2_r200_d080,damping_v2,0.35,1.5,2.0,0.0,0.8,-45.09503817461269,-129.82665746564936,0,0,1,0
damping_v2_r200_d095,damping_v2,0.35,1.5,2.0,0.0,0.95,-34.28655658228621,-101.28440542875792,0,0,1,0
