run_id,fixture_id,min_separation,config_id,mode,attack_range,repulsion_v1_enabled,repulsion_v1_strength,repulsion_v1_radius_multiplier,v2_radius_multiplier,v2_repulsion_max_disp_ratio,v2_forward_damping_strength,first_contact_tick,fc_diff_t1_20,fc_diff_t21_50,fc_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,hostile_overlap_pairs_t21_120,hostile_deep_pairs_t21_120,hostile_deep_intermix_ratio_t21_120,hostile_intermix_severity_t21_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
exception_2to1_close__sep100__off,exception_2to1_close,1.0,off,off,5.0,0,0.35,1.5,1.5,0.0,0.5,22,0.2964243229355776,0.3470966569909636,0.4926462431253354,0.005200958073230541,0.07142995090719764,141.21,17.95,0.12007209470502275,0.10094906333909798,165,1,54.666666666666664,120
exception_2to1_close__sep100__repulsion_v1_s020_r125,exception_2to1_close,1.0,repulsion_v1_s020_r125,repulsion_v1,5.0,1,0.2,1.25,1.5,0.0,0.5,22,0.2964243229355776,0.4427464900365669,0.4050854246540183,0.005200958073230541,0.06045145419374465,140.98,16.66,0.10781502135937272,0.09549540983900648,167,3,54.666666666666664,120
exception_2to1_close__sep100__repulsion_v1_s020_r150,exception_2to1_close,1.0,repulsion_v1_s020_r150,repulsion_v1,5.0,1,0.2,1.5,1.5,0.0,0.5,22,0.2964243229355776,0.36879489332480353,0.5330005404205738,0.005200958073230541,0.08667424356594072,135.27,15.94,0.10619349684150027,0.09531516101919081,166,1,55.0,120
exception_2to1_close__sep100__repulsion_v1_s020_r200,exception_2to1_close,1.0,repulsion_v1_s020_r200,repulsion_v1,5.0,1,0.2,2.0,1.5,0.0,0.5,22,0.2964243229355776,0.40292895574487864,0.6125816992845322,0.005200958073230541,0.06049931839880756,134.6,15.26,0.10533382439728088,0.09414790992792237,165,1,54.666666666666664,120
exception_2to1_close__sep100__repulsion_v1_s035_r125,exception_2to1_close,1.0,repulsion_v1_s035_r125,repulsion_v1,5.0,1,0.35,1.25,1.5,0.0,0.5,22,0.2964243229355776,0.3625098205633474,0.5679640144811106,0.005200958073230541,0.08002242961599783,134.61,13.78,0.09315757435356632,0.08980834485084069,167,1,55.333333333333336,120
exception_2to1_close__sep100__repulsion_v1_s035_r150,exception_2to1_close,1.0,repulsion_v1_s035_r150,repulsion_v1,5.0,1,0.35,1.5,1.5,0.0,0.5,22,0.2964243229355776,0.41224910620537103,0.4348647134332015,0.005200958073230541,0.04591177444255521,136.96,14.52,0.0946212359399215,0.08844223241631986,167,0,55.666666666666664,120
exception_2to1_close__sep100__repulsion_v1_s035_r200,exception_2to1_close,1.0,repulsion_v1_s035_r200,repulsion_v1,5.0,1,0.35,2.0,1.5,0.0,0.5,22,0.2964243229355776,0.4070199667620264,0.5654434893446771,0.005200958073230541,0.0883146742947141,130.04,13.41,0.09479788238820061,0.08716168189239192,167,0,55.666666666666664,120
exception_2to1_close__sep100__repulsion_v1_s050_r125,exception_2to1_close,1.0,repulsion_v1_s050_r125,repulsion_v1,5.0,1,0.5,1.25,1.5,0.0,0.5,22,0.2964243229355776,0.396837612526461,0.5208143244510777,0.005200958073230541,0.10790838225896965,133.8,12.58,0.08506139871617538,0.08568394464587067,166,1,55.0,120
exception_2to1_close__sep100__repulsion_v1_s050_r150,exception_2to1_close,1.0,repulsion_v1_s050_r150,repulsion_v1,5.0,1,0.5,1.5,1.5,0.0,0.5,22,0.2964243229355776,0.3959786190929746,0.5693450847368723,0.005200958073230541,0.13000797459166913,134.21,12.95,0.09412317428435227,0.08786519574344251,166,2,54.666666666666664,120
exception_2to1_close__sep100__repulsion_v1_s050_r200,exception_2to1_close,1.0,repulsion_v1_s050_r200,repulsion_v1,5.0,1,0.5,2.0,1.5,0.0,0.5,22,0.2964243229355776,0.41457658260763697,0.5294661937045146,0.005200958073230541,0.04945580160541317,128.93,12.57,0.09228595754693299,0.08539429634988238,167,1,55.333333333333336,120
exception_2to1_close__sep100__damping_v2_r100_d020,exception_2to1_close,1.0,damping_v2_r100_d020,damping_v2,5.0,0,0.35,1.5,1.0,0.0,0.2,22,0.2964243229355776,0.4566388822996646,0.4826667683975869,0.005200958073230541,0.09871091537142267,143.34,17.69,0.11474103799201817,0.10010625388247252,164,2,54.0,120
exception_2to1_close__sep100__damping_v2_r100_d035,exception_2to1_close,1.0,damping_v2_r100_d035,damping_v2,5.0,0,0.35,1.5,1.0,0.0,0.35,22,0.2964243229355776,0.43436778011014315,0.4438002799630245,0.005200958073230541,0.08361909571602523,138.61,17.99,0.1215306934916281,0.10116329023697465,167,1,55.333333333333336,120
exception_2to1_close__sep100__damping_v2_r100_d050,exception_2to1_close,1.0,damping_v2_r100_d050,damping_v2,5.0,0,0.35,1.5,1.0,0.0,0.5,22,0.2964243229355776,0.3564121754204743,0.4956501064706034,0.005200958073230541,0.06474249076600067,141.73,18.75,0.12065559079044219,0.1009589704981753,166,0,55.333333333333336,120
exception_2to1_close__sep100__damping_v2_r100_d065,exception_2to1_close,1.0,damping_v2_r100_d065,damping_v2,5.0,0,0.35,1.5,1.0,0.0,0.65,22,0.2964243229355776,0.2950522207281559,0.47614925386715873,0.005200958073230541,0.10794442869986799,140.5,19.74,0.1288502888602559,0.10373909699085543,167,0,55.666666666666664,120
exception_2to1_close__sep100__damping_v2_r100_d080,exception_2to1_close,1.0,damping_v2_r100_d080,damping_v2,5.0,0,0.35,1.5,1.0,0.0,0.8,22,0.2964243229355776,0.5884849829514683,0.41027080067204075,0.005200958073230541,0.06049422191297311,141.38,19.86,0.12567530247148284,0.10330226611476152,165,2,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r100_d095,exception_2to1_close,1.0,damping_v2_r100_d095,damping_v2,5.0,0,0.35,1.5,1.0,0.0,0.95,22,0.2964243229355776,0.6053291129233772,0.5043087675337932,0.005200958073230541,0.17698882627063303,142.4,21.48,0.1310034605373354,0.10624215790572596,166,1,55.0,120
exception_2to1_close__sep100__damping_v2_r125_d020,exception_2to1_close,1.0,damping_v2_r125_d020,damping_v2,5.0,0,0.35,1.5,1.25,0.0,0.2,22,0.2964243229355776,0.336173157440843,0.5477831213395568,0.005200958073230541,0.027619744780892783,137.87,18.78,0.12806358644181975,0.10328199616041209,163,2,53.666666666666664,120
exception_2to1_close__sep100__damping_v2_r125_d035,exception_2to1_close,1.0,damping_v2_r125_d035,damping_v2,5.0,0,0.35,1.5,1.25,0.0,0.35,22,0.2964243229355776,0.48201464397308696,0.4882690960562891,0.005200958073230541,0.08530877856580805,139.47,20.32,0.13733859177694394,0.10745105292285145,166,3,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r125_d050,exception_2to1_close,1.0,damping_v2_r125_d050,damping_v2,5.0,0,0.35,1.5,1.25,0.0,0.5,22,0.2964243229355776,0.46856683414916844,0.5905294619206813,0.005200958073230541,0.1093428229733242,137.73,21.98,0.14190576367893773,0.10967387405674645,166,3,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r125_d065,exception_2to1_close,1.0,damping_v2_r125_d065,damping_v2,5.0,0,0.35,1.5,1.25,0.0,0.65,22,0.2964243229355776,0.3796742559431829,0.4794444000639519,0.005200958073230541,0.09314896621863618,148.53,27.24,0.16381431383849565,0.12135465310603703,165,2,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r125_d080,exception_2to1_close,1.0,damping_v2_r125_d080,damping_v2,5.0,0,0.35,1.5,1.25,0.0,0.8,22,0.2964243229355776,0.4941623080992325,0.4980229867402315,0.005200958073230541,0.154211115495657,134.71,24.58,0.16882813534571284,0.12459123950090847,163,3,53.333333333333336,120
exception_2to1_close__sep100__damping_v2_r125_d095,exception_2to1_close,1.0,damping_v2_r125_d095,damping_v2,5.0,0,0.35,1.5,1.25,0.0,0.95,22,0.2964243229355776,0.4943197502727493,0.5442498385375572,0.005200958073230541,0.2628377549288558,145.0,27.48,0.17273678967831047,0.12714981717583196,164,4,53.333333333333336,120
exception_2to1_close__sep100__damping_v2_r150_d020,exception_2to1_close,1.0,damping_v2_r150_d020,damping_v2,5.0,0,0.35,1.5,1.5,0.0,0.2,22,0.2964243229355776,0.4026175955790707,0.5173993462273461,0.005200958073230541,0.10199254402157394,136.36363636363637,19.242424242424242,0.14056371522476804,0.10986927042553432,167,0,55.666666666666664,119
exception_2to1_close__sep100__damping_v2_r150_d035,exception_2to1_close,1.0,damping_v2_r150_d035,damping_v2,5.0,0,0.35,1.5,1.5,0.0,0.35,22,0.2964243229355776,0.49872939678925665,0.4959583153051376,0.005200958073230541,0.059621841349727395,143.51,23.91,0.1521782759927412,0.11839144321796548,164,3,53.666666666666664,120
exception_2to1_close__sep100__damping_v2_r150_d050,exception_2to1_close,1.0,damping_v2_r150_d050,damping_v2,5.0,0,0.35,1.5,1.5,0.0,0.5,22,0.2964243229355776,0.3849175468096394,0.5341830652634317,0.005200958073230541,0.12220278590026584,143.86,27.3,0.17360946253732745,0.12659258496134165,165,4,53.666666666666664,120
exception_2to1_close__sep100__damping_v2_r150_d065,exception_2to1_close,1.0,damping_v2_r150_d065,damping_v2,5.0,0,0.35,1.5,1.5,0.0,0.65,22,0.2964243229355776,0.5446464467277311,0.5563537542016679,0.005200958073230541,0.14002154498713995,133.58,26.69,0.1790388066528201,0.12859301751525426,166,3,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r150_d080,exception_2to1_close,1.0,damping_v2_r150_d080,damping_v2,5.0,0,0.35,1.5,1.5,0.0,0.8,22,0.2964243229355776,0.4309524116177719,0.44371577710655413,0.005200958073230541,0.22652900512989566,143.99,29.27,0.18430735992674727,0.13288258001168826,163,5,52.666666666666664,120
exception_2to1_close__sep100__damping_v2_r150_d095,exception_2to1_close,1.0,damping_v2_r150_d095,damping_v2,5.0,0,0.35,1.5,1.5,0.0,0.95,22,0.2964243229355776,0.5147978073068882,0.5432771380194177,0.005200958073230541,0.28085727589932025,134.82,28.06,0.19619521698914322,0.13672032020098157,164,3,53.666666666666664,120
exception_2to1_close__sep100__damping_v2_r175_d020,exception_2to1_close,1.0,damping_v2_r175_d020,damping_v2,5.0,0,0.35,1.5,1.75,0.0,0.2,22,0.2964243229355776,0.39266245543436534,0.5505085123810614,0.005200958073230541,0.047415558071303834,139.41,20.43,0.13192584261768195,0.10722212516712876,166,2,54.666666666666664,120
exception_2to1_close__sep100__damping_v2_r175_d035,exception_2to1_close,1.0,damping_v2_r175_d035,damping_v2,5.0,0,0.35,1.5,1.75,0.0,0.35,22,0.2964243229355776,0.4515251623884821,0.4927292197877327,0.005200958073230541,0.2383521410540748,139.06,23.81,0.15590981401560877,0.11954405950832944,167,2,55.0,120
exception_2to1_close__sep100__damping_v2_r175_d050,exception_2to1_close,1.0,damping_v2_r175_d050,damping_v2,5.0,0,0.35,1.5,1.75,0.0,0.5,22,0.2964243229355776,0.47108757689121034,0.5805281675025978,0.005200958073230541,0.09810187393409793,142.41,27.3,0.17591989883442924,0.1293251722391491,166,2,54.666666666666664,120
exception_2to1_close__sep100__damping_v2_r175_d065,exception_2to1_close,1.0,damping_v2_r175_d065,damping_v2,5.0,0,0.35,1.5,1.75,0.0,0.65,22,0.2964243229355776,0.5662100338222242,0.5085261308556672,0.005200958073230541,0.16902462816572042,136.5,28.74,0.19330864015385277,0.13771374446345913,161,6,51.666666666666664,120
exception_2to1_close__sep100__damping_v2_r175_d080,exception_2to1_close,1.0,damping_v2_r175_d080,damping_v2,5.0,0,0.35,1.5,1.75,0.0,0.8,22,0.2964243229355776,0.5545321911302236,0.49343588573474506,0.005200958073230541,0.26514291681386604,142.61,29.84,0.18235755917727903,0.13319075575426015,167,1,55.333333333333336,120
exception_2to1_close__sep100__damping_v2_r175_d095,exception_2to1_close,1.0,damping_v2_r175_d095,damping_v2,5.0,0,0.35,1.5,1.75,0.0,0.95,22,0.2964243229355776,0.4455115047360007,0.6233737214093215,0.005200958073230541,0.31438769592018534,126.39,28.21,0.20108211240185003,0.14140772128394688,165,4,53.666666666666664,120
exception_2to1_close__sep100__damping_v2_r200_d020,exception_2to1_close,1.0,damping_v2_r200_d020,damping_v2,5.0,0,0.35,1.5,2.0,0.0,0.2,22,0.2964243229355776,0.47123070355734004,0.48008412399146194,0.005200958073230541,0.14689997858016346,133.94,18.78,0.13608269540479995,0.10774006122914487,165,2,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r200_d035,exception_2to1_close,1.0,damping_v2_r200_d035,damping_v2,5.0,0,0.35,1.5,2.0,0.0,0.35,22,0.2964243229355776,0.5306044160392765,0.5661510129772469,0.005200958073230541,0.08684479811578204,134.62,23.21,0.16108587011288514,0.12047848747868826,167,0,55.666666666666664,120
exception_2to1_close__sep100__damping_v2_r200_d050,exception_2to1_close,1.0,damping_v2_r200_d050,damping_v2,5.0,0,0.35,1.5,2.0,0.0,0.5,22,0.2964243229355776,0.3800232194980608,0.5909856726035919,0.005200958073230541,0.25323734283242677,135.6,27.32,0.1872884583204455,0.13387747914012774,163,3,53.333333333333336,120
exception_2to1_close__sep100__damping_v2_r200_d065,exception_2to1_close,1.0,damping_v2_r200_d065,damping_v2,5.0,0,0.35,1.5,2.0,0.0,0.65,22,0.2964243229355776,0.3863550643750632,0.5094755019354805,0.005200958073230541,0.2719748209579997,144.11,31.14,0.19936546661154952,0.1412278830267959,164,3,53.666666666666664,120
exception_2to1_close__sep100__damping_v2_r200_d080,exception_2to1_close,1.0,damping_v2_r200_d080,damping_v2,5.0,0,0.35,1.5,2.0,0.0,0.8,22,0.2964243229355776,0.535007425077633,0.5256229833989244,0.005200958073230541,0.2869780721022993,126.12,27.82,0.2008440628100589,0.139161581021937,166,3,54.333333333333336,120
exception_2to1_close__sep100__damping_v2_r200_d095,exception_2to1_close,1.0,damping_v2_r200_d095,damping_v2,5.0,0,0.35,1.5,2.0,0.0,0.95,22,0.2964243229355776,0.6215604208357688,0.5449029408251808,0.005200958073230541,0.277738634083189,131.71,29.04,0.20119580430328388,0.13661490832769543,166,2,54.666666666666664,120
exception_2to1_close__sep100__hybrid_v2_r100_d020_p005,exception_2to1_close,1.0,hybrid_v2_r100_d020_p005,hybrid_v2,5.0,0,0.35,1.5,1.0,0.05,0.2,22,0.2964243229355776,0.4522984978132126,0.5583907477222845,0.005200958073230541,0.1027448680344938,141.65,14.36,0.09572285575359246,0.09102548299860859,165,3,54.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d020_p010,exception_2to1_close,1.0,hybrid_v2_r100_d020_p010,hybrid_v2,5.0,0,0.35,1.5,1.0,0.1,0.2,22,0.2964243229355776,0.303283954184833,0.4769571802301166,0.005200958073230541,0.14785555759600807,136.13,9.59,0.06428482181232975,0.07879957280355133,167,2,55.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d020_p015,exception_2to1_close,1.0,hybrid_v2_r100_d020_p015,hybrid_v2,5.0,0,0.35,1.5,1.0,0.15,0.2,22,0.2964243229355776,0.3749158321771052,0.5028146020861367,0.005200958073230541,0.06390790069581945,138.05,7.14,0.04637922040681602,0.0714700955274429,167,0,55.666666666666664,120
exception_2to1_close__sep100__hybrid_v2_r100_d020_p020,exception_2to1_close,1.0,hybrid_v2_r100_d020_p020,hybrid_v2,5.0,0,0.35,1.5,1.0,0.2,0.2,22,0.2964243229355776,0.42676361147693526,0.5824146930146438,0.005200958073230541,0.05066912636307409,140.03,4.9,0.028204370412253238,0.06788021097883527,166,1,55.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d035_p005,exception_2to1_close,1.0,hybrid_v2_r100_d035_p005,hybrid_v2,5.0,0,0.35,1.5,1.0,0.05,0.35,22,0.2964243229355776,0.3123966096276758,0.5256475727570152,0.005200958073230541,0.0866207256327074,142.86,15.11,0.09826283121950949,0.09234886617492583,164,2,54.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d035_p010,exception_2to1_close,1.0,hybrid_v2_r100_d035_p010,hybrid_v2,5.0,0,0.35,1.5,1.0,0.1,0.35,22,0.2964243229355776,0.4176900189408708,0.5543638509774447,0.005200958073230541,0.05231709171227003,140.16,11.68,0.07937583755482472,0.08249688170623867,166,1,55.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d035_p015,exception_2to1_close,1.0,hybrid_v2_r100_d035_p015,hybrid_v2,5.0,0,0.35,1.5,1.0,0.15,0.35,22,0.2964243229355776,0.403791499023308,0.4723614262435365,0.005200958073230541,0.09793196640498696,140.02,8.66,0.05307169476460956,0.07451249766268819,164,2,54.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d035_p020,exception_2to1_close,1.0,hybrid_v2_r100_d035_p020,hybrid_v2,5.0,0,0.35,1.5,1.0,0.2,0.35,22,0.2964243229355776,0.304252379793164,0.5209686535673662,0.005200958073230541,0.12367292405426712,139.89,6.48,0.03634599227689743,0.06760569057665027,166,1,55.0,120
exception_2to1_close__sep100__hybrid_v2_r100_d050_p005,exception_2to1_close,1.0,hybrid_v2_r100_d050_p005,hybrid_v2,5.0,0,0.35,1.5,1.0,0.05,0.5,22,0.2964243229355776,0.4947741201441266,0.5124826547148451,0.005200958073230541,0.1643174735035195,135.91,15.46,0.10335928919761818,0.09351570638637112,165,2,54.333333333333336,120
exception_2to1_close__sep100__hybrid_v2_r100_d050_p010,exception_2to1_close,1.0,hybrid_v2_r100_d050_p010,hybrid_v2,5.0,0,0.35,1.5,1.0,0.1,0.5,22,0.2964243229355776,0.36813484252429873,0.5492991128274669,0.005200958073230541,0.06745390586526327,145.37,13.11,0.08000432239926475,0.08441022310046621,164,1,54.333333333333336,120
exception_2to1_close__sep100__hybrid_v2_r100_d050_p015,exception_2to1_close,1.0,hybrid_v2_r100_d050_p015,hybrid_v2,5.0,0,0.35,1.5,1.0,0.15,0.5,22,0.2964243229355776,0.3622223666646583,0.5080506499932173,0.005200958073230541,0.1402725864844678,145.6,10.6,0.06033329958621512,0.07821115188450382,166,3,54.333333333333336,120
exception_2to1_close__sep100__hybrid_v2_r100_d050_p020,exception_2to1_close,1.0,hybrid_v2_r100_d050_p020,hybrid_v2,5.0,0,0.35,1.5,1.0,0.2,0.5,22,0.2964243229355776,0.3062115902056662,0.636130732120774,0.005200958073230541,0.08376848944717682,142.26,7.36,0.04906955756792456,0.0726875510761391,167,1,55.333333333333336,120
