batch_name,run_id,movement_model,archetype_id,formation_rigidity,mobility_bias,offense_defense_weight,force_concentration_ratio,risk_appetite,time_preference,targeting_logic,perception_radius,pursuit_drive,retreat_threshold,objective_x,objective_y,origin_x,origin_y,facing_angle_deg,fleet_size,aspect_ratio,stop_radius,random_seed_effective,metatype_random_seed_effective,background_map_seed_effective,boundary_enabled,observer_enabled,objective_reached,objective_reached_tick,final_tick,initial_distance,final_distance,min_distance,final_rms_radius_ratio,max_rms_radius_ratio,mean_corrected_unit_ratio,peak_corrected_unit_ratio,peak_projection_pairs_count,peak_projection_mean_displacement,peak_projection_max_displacement
batch01_of07,neutral_transit_fixture_fr1_mb1_odw1_obj150_150,v3a,lobos,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,147,157,141.4213562373095,0.7283394032694689,0.23512543676799522,0.697721290474624,0.9970457387388911,0.7993630573248408,1.0,91,0.32337142772557637,0.5299073151987487
batch01_of07,neutral_transit_fixture_fr1_mb1_odw3_obj150_150,v3a,lobos,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,144,154,141.4213562373095,0.02115623924231746,0.020136214785558267,0.7045159429939817,0.9973713067447877,0.8037662337662338,1.0,93,0.26841250586105586,0.4602168389462001
batch01_of07,neutral_transit_fixture_fr1_mb1_odw5_obj150_150,v3a,lobos,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,143,153,141.4213562373095,0.6907686066900058,0.2913643165671894,0.7341532856410559,0.9978398931686655,0.8147058823529412,0.98,99,0.2076302260613121,0.3682250388411362
batch01_of07,neutral_transit_fixture_fr1_mb1_odw7_obj150_150,v3a,lobos,1.0,1.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,142,152,141.4213562373095,0.5353878441492002,0.44816348997968797,0.7516854340113299,0.9981906324391361,0.8431578947368421,1.0,91,0.16862203629864608,0.3283181420583044
batch01_of07,neutral_transit_fixture_fr1_mb1_odw9_obj150_150,v3a,lobos,1.0,1.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,142,152,141.4213562373095,0.8855258965771708,0.10431060107858178,0.7769340432667624,0.9983561176578393,0.8416447368421052,0.98,100,0.15139216164561764,0.3040314236405613
batch01_of07,neutral_transit_fixture_fr1_mb3_odw1_obj150_150,v3a,lobos,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,148,158,141.4213562373095,0.11627244300356891,0.10298183117628845,0.7068881409852523,0.9968028256775969,0.744240506329114,1.0,87,0.379451540278473,0.6137754066137379
batch01_of07,neutral_transit_fixture_fr1_mb3_odw3_obj150_150,v3a,lobos,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,146,156,141.4213562373095,0.10688427000182281,0.07946546291320306,0.7079482185850284,0.9970381774033186,0.7779487179487179,0.98,97,0.3194498244729436,0.5518196335288145
batch01_of07,neutral_transit_fixture_fr1_mb3_odw5_obj150_150,v3a,lobos,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,144,154,141.4213562373095,0.30815815885097453,0.2991097957700294,0.7036732133404453,0.9974727019207522,0.8156493506493506,1.0,89,0.25040001945946605,0.44207866747297064
batch01_of07,neutral_transit_fixture_fr1_mb3_odw7_obj150_150,v3a,lobos,1.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,143,153,141.4213562373095,0.6432267721191572,0.3297330067394637,0.7282159179989287,0.997840365062481,0.8405228758169935,1.0,93,0.20477416090902295,0.3792695183640225
batch01_of07,neutral_transit_fixture_fr1_mb3_odw9_obj150_150,v3a,lobos,1.0,3.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,142,152,141.4213562373095,0.17537119634130469,0.17105084732452475,0.7398042093821457,0.9980227203529046,0.8410526315789474,1.0,88,0.18433836448276947,0.34392081954558074
batch01_of07,neutral_transit_fixture_fr1_mb5_odw1_obj150_150,v3a,lobos,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,151,161,141.4213562373095,0.541352087459266,0.40140394776220184,0.7372886538969965,0.9967084700625228,0.7140372670807453,1.0,91,0.43672975476831155,0.7589850386091945
batch01_of07,neutral_transit_fixture_fr1_mb5_odw3_obj150_150,v3a,lobos,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,148,158,141.4213562373095,0.26694950549773494,0.2613946227170892,0.7213635295178007,0.9967989873575479,0.7375949367088608,1.0,93,0.37391377506816037,0.5999660305609648
batch01_of07,neutral_transit_fixture_fr1_mb5_odw5_obj150_150,v3a,lobos,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,146,156,141.4213562373095,0.7100955379912116,0.256905459671206,0.6917323006889248,0.9971338858767412,0.814871794871795,0.98,93,0.2980699944150354,0.5475742538248368
batch01_of07,neutral_transit_fixture_fr1_mb5_odw7_obj150_150,v3a,lobos,1.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,144,154,141.4213562373095,0.6847271181184611,0.2878115871791694,0.7020324773794181,0.9974845407180549,0.8228571428571428,1.0,90,0.24604179071955898,0.42874687975146125
batch01_of07,neutral_transit_fixture_fr1_mb5_odw9_obj150_150,v3a,lobos,1.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,143,153,141.4213562373095,0.22253849661050298,0.2132974045866937,0.7275464443753087,0.9976725621088979,0.8187581699346405,1.0,92,0.22229813657139888,0.4012335747568634
batch01_of07,neutral_transit_fixture_fr1_mb7_odw1_obj150_150,v3a,lobos,1.0,7.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,154,164,141.4213562373095,0.19520566439259068,0.16418389897080402,0.7707311106435217,0.9967989432797768,0.6765853658536585,0.98,95,0.49425821438785705,0.7503518138062563
batch01_of07,neutral_transit_fixture_fr1_mb7_odw3_obj150_150,v3a,lobos,1.0,7.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,150,160,141.4213562373095,0.01759653045892556,0.006338225196487889,0.7396932170960829,0.9966972202816428,0.7156875,1.0,91,0.4309092118416096,0.6783607104990457
batch01_of07,neutral_transit_fixture_fr1_mb7_odw5_obj150_150,v3a,lobos,1.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,148,158,141.4213562373095,0.6419526266719858,0.31154068288624115,0.7008885446255863,0.9968607850918755,0.7840506329113924,0.98,97,0.3506860052898652,0.6286164096919419
batch01_of07,neutral_transit_fixture_fr1_mb7_odw7_obj150_150,v3a,lobos,1.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,145,155,141.4213562373095,0.08415134621395386,0.06874600853275957,0.6972750530291469,0.9971465206841287,0.7947096774193548,1.0,93,0.29303752061677096,0.5603848884217758
batch01_of07,neutral_transit_fixture_fr1_mb7_odw9_obj150_150,v3a,lobos,1.0,7.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,150.0,50.0,50.0,45.0,100,4.0,2.0,20260321,20260322,20260323,False,True,True,145,155,141.4213562373095,0.8905441099838494,0.08388138846837533,0.7198186732622851,0.9973219340412988,0.8165806451612903,1.0,91,0.26607523362544094,0.4580566233800518
