tick,objective_reached_tick,mean_centroid_distance_pre,mean_step_magnitude_gain,mean_pre_projection_total_norm,mean_realized_disp_norm,mean_cohesion_norm,backward_count,front10_backward_count,dominant_target_count,dominant_cohesion_count,dominant_separation_count,dominant_projection_count,dominant_boundary_count,dominant_late_clamp_count,dominant_mixed_zero_count
420,425,7.7524337610262055,1.0,1.0,0.9999999999999997,0.9089245365049184,0,0,100,0,0,0,0,0,0
421,425,6.752433761026392,1.0,1.0,0.9999999999999956,0.9089245368820147,0,0,100,0,0,0,0,0,0
422,425,5.752433761026461,1.0,1.0,1.0000000000000038,0.9089245372905911,0,0,100,0,0,0,0,0,0
423,425,4.752433761026226,1.0,1.0,1.000000000000012,0.908924537746439,0,0,100,0,0,0,0,0,0
424,425,3.7524337610262815,1.0,1.0,1.0000000000000113,0.9089245382771787,0,0,100,0,0,0,0,0,0
425,425,2.752433761026474,1.0,1.0,1.0000000000000044,0.908924538939652,0,0,100,0,0,0,0,0,0
426,425,1.7524337610262242,0.8762168805131121,0.8762168805131122,0.8762168805131115,0.8549489905375752,0,0,100,0,0,0,0,0,0
427,425,0.8762168805133073,0.43810844025665363,0.43810844025665363,0.43810844025665446,0.6663545922400703,0,0,100,0,0,0,0,0,0
428,425,0.4381084402566435,0.21905422012832176,0.21905422012832176,0.2190542201283153,0.5751198183518335,2,2,68,32,0,0,0,0,0
429,425,0.22781638893343983,0.11390819446671992,0.11390819446671992,0.11390819446672105,0.5281889582048557,0,0,70,30,0,0,0,0,0
430,425,0.11390819446658314,0.05695409723329157,0.05695409723329157,0.05695409723327738,0.5064172621475652,0,0,70,30,0,0,0,0,0
