tick,unit_id,expected_x,expected_y,actual_x,actual_y,actual_rel_forward,actual_rel_lateral,offset_forward_local,offset_lateral_local,delta_forward,delta_lateral,centroid_x,centroid_y,primary_axis_x,primary_axis_y,secondary_axis_x,secondary_axis_y
1,A1,61.239904,34.369846,61.576744,33.979080,-4.038131,-19.514496,-4.000000,-19.000000,-0.038131,-0.514496,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A2,59.825690,35.784060,59.798727,35.757097,-4.038131,-17.000000,-4.000000,-17.000000,-0.038131,0.000000,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A3,58.411477,37.198273,58.384514,37.171310,-4.038131,-15.000000,-4.000000,-15.000000,-0.038131,0.000000,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A4,56.997263,38.612487,56.953056,38.566826,-4.063546,-13.001028,-4.000000,-13.000000,-0.063546,-0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A5,55.583050,40.026700,55.537389,39.982493,-4.063546,-10.998972,-4.000000,-11.000000,-0.063546,0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A6,54.168836,41.440914,54.124629,41.395253,-4.063546,-9.001028,-4.000000,-9.000000,-0.063546,-0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A7,52.754622,42.855127,52.708962,42.810920,-4.063546,-6.998972,-4.000000,-7.000000,-0.063546,0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A8,51.340409,44.269341,51.414214,44.343146,-3.895624,-5.000000,-4.000000,-5.000000,0.104376,0.000000,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A9,49.926195,45.683555,49.881988,45.637894,-4.063546,-3.001028,-4.000000,-3.000000,-0.063546,-0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A10,48.511982,47.097768,48.466321,47.053561,-4.063546,-0.998972,-4.000000,-1.000000,-0.063546,0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A11,47.097768,48.511982,47.053561,48.466321,-4.063546,0.998972,-4.000000,1.000000,-0.063546,-0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
1,A12,45.683555,49.926195,45.637894,49.881988,-4.063546,3.001028,-4.000000,3.000000,-0.063546,0.001028,50.633302,50.633302,0.707107,0.707107,-0.707107,0.707107
