tick,legality_reference_surface_count,legality_feasible_surface_count,legality_middle_stage_active,legality_handoff_ready,expected_position_rms_error,projection_pairs_count,projection_mean_displacement,projection_max_displacement,corrected_unit_ratio
1,100,100,True,True,0.14842255585015873,80,0.36117894748889684,0.5927506998767439,0.84
2,100,100,True,True,0.24201556124412782,77,0.2332602833779954,0.5725138704910592,0.92
3,100,100,True,True,0.3187853384162231,73,0.12301220345424328,0.3575487495685972,0.84
4,100,100,True,True,0.3868234019651158,73,0.12234632287761343,0.5773704732598487,0.86
5,100,100,True,True,0.41124441887533114,63,0.14983556769244882,0.553462230483005,0.94
6,100,100,True,True,0.4453374291472212,64,0.1597612076561223,0.5916870125149181,0.85
7,100,100,True,True,0.4487751953489723,72,0.11156658647012506,0.47630695856477606,0.92
8,100,100,True,True,0.47183502671492156,70,0.1541716097509497,0.5093862215607735,0.87
9,100,100,True,True,0.4849444317516565,71,0.16439941406707717,0.5884034057307103,0.88
10,100,100,True,True,0.5245121265539452,70,0.1637788880048571,0.5710020155158029,0.88
11,100,100,True,True,0.5475403351339988,66,0.1442345200835326,0.6101264672729373,0.85
12,100,100,True,True,0.5576650746539469,64,0.12852265269412821,0.5168522926738304,0.84
13,100,100,True,True,0.5878875327050649,59,0.14296662997093743,0.6280472529255348,0.8
14,100,100,True,True,0.5960552894429948,55,0.09453197013187782,0.48416719843720646,0.76
15,100,100,True,True,0.6280376345359936,63,0.11555661523007554,0.6487541778854071,0.76
16,100,100,True,True,0.6408668789848311,60,0.12665916610796912,0.6336486953267286,0.71
17,100,100,True,True,0.6586373992457119,50,0.10239606404772339,0.42040187163066434,0.67
18,100,100,True,True,0.6744814170451747,52,0.09048770092351513,0.4056795673043734,0.65
19,100,100,True,True,0.695558388941268,52,0.10703262413646245,0.5090364234492547,0.67
20,100,100,True,True,0.7008557903853927,47,0.06528663678744769,0.3501450925792664,0.65
21,100,100,True,True,0.715112011329945,50,0.08896509180396908,0.3650877634980629,0.67
22,100,100,True,True,0.7202372642493748,47,0.09080728094620844,0.4552862087900604,0.63
23,100,100,True,True,0.7350290482582121,46,0.0837201175447464,0.4370584181878249,0.59
24,100,100,True,True,0.7643843943627145,46,0.07277664449235234,0.5356224185821336,0.62
25,100,100,True,True,0.7840543895322276,39,0.046484651987098335,0.381310215335729,0.55
26,100,100,True,True,0.785242123404507,35,0.035030906426990825,0.4043987131763799,0.51
27,100,100,True,True,0.7942402047711159,35,0.04753799942534967,0.35852625385298903,0.46
28,100,100,True,True,0.8010627396101991,28,0.0343657269672958,0.3229249978726868,0.43
29,100,100,True,True,0.8032108791537954,25,0.020044435377098314,0.1842274261312051,0.39
30,100,100,True,True,0.808784663846454,31,0.03522639800666504,0.31845744488859656,0.41
31,100,100,True,True,0.8186259169041759,21,0.0342553779348084,0.2420549696615971,0.32
32,100,100,True,True,0.8321071682432252,26,0.04301138291834406,0.46611159685666836,0.4
33,100,100,True,True,0.8284188284551778,30,0.04120171438057788,0.3065877145848107,0.47
34,100,100,True,True,0.8436329299771848,27,0.035855834239067075,0.3104521667983778,0.39
35,100,100,True,True,0.855170676037054,29,0.049890529277355336,0.4036823693631801,0.41
36,100,100,True,True,0.8645506212218242,26,0.03870768240458539,0.3314715993749886,0.4
37,100,100,True,True,0.8795491697522692,31,0.03983927599063575,0.2487540652576345,0.43
38,100,100,True,True,0.8930018803892282,31,0.03431068142233013,0.38774693625053,0.42
39,100,100,True,True,0.9097108957804061,26,0.0335020086140372,0.2169494381434736,0.41
40,100,100,True,True,0.9165883702980803,25,0.02555600271619161,0.3327869689866053,0.36
41,100,100,True,True,0.9203538592918697,20,0.017341473071583565,0.17101378153031643,0.32
42,100,100,True,True,0.9233347795082576,15,0.015332403897729463,0.45370514750254115,0.25
43,100,100,True,True,0.9297553220419991,17,0.022905327939240452,0.24324093615687045,0.29
44,100,100,True,True,0.9437267622673832,14,0.017106124043817096,0.19895691138152177,0.25
45,100,100,True,True,0.9478926343821007,17,0.021345790890324463,0.23292335311592816,0.29
46,100,100,True,True,0.946755972713481,9,0.008324269248513101,0.20587089415510929,0.15
47,100,100,True,True,0.9511451159365149,9,0.01246971369236959,0.21855730500794301,0.16
48,100,100,True,True,0.9533985043821609,14,0.013478702930316246,0.18182150894600407,0.25
49,100,100,True,True,0.9637808610448696,12,0.018001972183000644,0.19825148076105578,0.2
50,100,100,True,True,0.9803412815669437,11,0.018081001229776072,0.3013341071075889,0.21
51,100,100,True,True,0.9818086302183836,16,0.02150838945442687,0.26576827926417634,0.25
52,100,100,True,True,0.9817407468739834,12,0.0065235958637868685,0.13094432832603328,0.19
53,100,100,True,True,0.9891260702501807,12,0.00887689853799719,0.13116457624767808,0.2
54,100,100,True,True,0.991669319234775,11,0.007681645623328416,0.20089028078287005,0.19
55,100,100,True,True,0.9980173897284372,14,0.011933141447827094,0.2202521796278193,0.24
56,100,100,True,True,1.002910658517207,11,0.004230924615364811,0.10012224356020877,0.2
57,100,100,True,True,1.0012322057035095,9,0.007752869259121565,0.19554200166166738,0.17
58,100,100,True,True,1.0019359769225427,10,0.006763184171908345,0.18737209371991867,0.15
59,100,100,True,True,0.9988066784924697,4,0.000266373571519174,0.0102932480723269,0.08
60,100,100,True,True,1.0008116346415707,6,0.003829679705034088,0.1846086150512113,0.12
61,100,100,True,True,1.0001992744768446,2,0.0029810560332331026,0.12277493460638411,0.04
62,100,100,True,True,0.9955887971220093,6,0.005827072138142799,0.2130288989201265,0.09
63,100,100,True,True,0.9952509074004949,3,0.0001701686016580328,0.0077478119147901215,0.05
64,100,100,True,True,0.9940900200580502,4,0.00036933499985187135,0.013064062532571084,0.08
65,100,100,True,True,0.9939677350512175,2,2.8990385603520074e-05,0.0011051938721610144,0.04
66,100,100,True,True,0.9938887447744092,2,0.00021569033360954886,0.009446130097312148,0.03
67,100,100,True,True,0.9936746862628423,4,0.0006435762572088212,0.030318521732036658,0.07
68,100,100,True,True,0.9979225546110899,7,0.012494204253561503,0.23247075889930735,0.12
69,100,100,True,True,0.9987201888111565,5,0.0032042601710655007,0.09589221038020124,0.09
70,100,100,True,True,0.9987335018285785,5,0.00584035832548224,0.21004952262134982,0.1
71,100,100,True,True,1.0016557756212527,9,0.005865618723826188,0.16580836938519614,0.14
72,100,100,True,True,1.0069788445711767,3,0.0004103313899072347,0.019559927561394574,0.06
73,100,100,True,True,1.006151088869033,0,0.0,0.0,0.0
74,100,100,True,True,1.0055235093749155,2,1.6581365692154292e-05,0.000681975375824817,0.04
75,100,100,True,True,1.009425658075272,3,0.0024304192112491975,0.12133588966058861,0.06
76,100,100,True,True,1.0063422113379055,4,0.005883707885454128,0.18296321996857223,0.08
77,100,100,True,True,1.0053102352064982,2,0.0009152192713662011,0.035295032849365415,0.04
78,100,100,True,True,1.0073324357304183,5,0.004826424291036635,0.20677907588782496,0.1
79,100,100,True,True,1.0095136004702794,3,0.0030782692198817268,0.14191124855188822,0.06
