scene,aspect_ratio,mode,tick,width_depth_ratio,front_extent_ratio,expected_position_rms_error,projection_pairs_count,corrected_unit_ratio,objective_reached_tick,final_tick,movement_model_effective
neutral_transit_v1,1.0,coupled_2.0_2.0,1,1.019647,1.011225,0.172435,84,0.800000,427,447,v4a
neutral_transit_v1,1.0,coupled_2.0_2.0,20,0.974954,1.127708,0.604963,69,0.840000,427,447,v4a
neutral_transit_v1,1.0,coupled_2.0_2.0,50,0.881426,1.229586,0.911310,44,0.510000,427,447,v4a
neutral_transit_v1,1.0,coupled_2.0_2.0,100,0.796858,1.307349,1.223310,18,0.300000,427,447,v4a
neutral_transit_v1,1.0,coupled_2.0_2.0,200,0.753405,1.370091,1.638330,17,0.260000,427,447,v4a
neutral_transit_v1,1.0,coupled_2.0_2.0,300,0.720149,1.393291,1.852895,3,0.060000,427,447,v4a
neutral_transit_v1,1.0,coupled_2.0_2.0,447,0.711999,1.473326,1.850940,0,0.000000,427,447,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,1,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,20,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,50,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,100,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,200,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,300,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,1.0,candidate_2.0_1.0,443,1.000000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,1,4.780697,1.026094,0.148423,80,0.840000,425,445,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,20,3.495205,1.467726,0.700856,47,0.650000,425,445,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,50,3.037794,1.638132,0.980341,11,0.210000,425,445,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,100,3.008403,1.674205,1.039300,6,0.090000,425,445,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,200,2.902100,1.692733,1.099898,2,0.020000,425,445,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,300,2.902100,1.692733,1.099898,0,0.000000,425,445,v4a
neutral_transit_v1,4.0,coupled_2.0_2.0,445,3.001475,1.585392,1.079353,0,0.000000,425,445,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,1,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,20,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,50,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,100,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,200,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,300,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
neutral_transit_v1,4.0,candidate_2.0_1.0,443,4.750000,1.000000,0.000000,0,0.000000,423,443,v4a
