scene,aspect_ratio,mode,tick,physical_min_spacing,restore_strength,width_depth_ratio,front_extent_ratio,expected_position_rms_error,projection_pairs_count,corrected_unit_ratio,objective_reached_tick,final_tick
neutral_transit_v1,1.0,coupled_2.0_2.0,1,2.0,1.0,1.019647,1.011225,0.172435,84,0.800000,431,451
neutral_transit_v1,1.0,coupled_2.0_2.0,20,2.0,1.0,0.976047,1.087525,0.495824,66,0.780000,431,451
neutral_transit_v1,1.0,coupled_2.0_2.0,50,2.0,1.0,0.888531,1.286421,0.713757,57,0.730000,431,451
neutral_transit_v1,1.0,coupled_2.0_2.0,100,2.0,1.0,0.793689,1.501920,1.169338,37,0.550000,431,451
neutral_transit_v1,1.0,coupled_2.0_2.0,200,2.0,1.0,0.699562,1.679668,1.691632,11,0.170000,431,451
neutral_transit_v1,1.0,coupled_2.0_2.0,300,2.0,1.0,0.691610,1.737450,1.873866,18,0.240000,431,451
neutral_transit_v1,1.0,coupled_2.0_2.0,451,2.0,1.0,0.730478,1.203176,1.623576,0,0.000000,431,451
neutral_transit_v1,1.0,split_restore_1.0,1,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_1.0,20,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_1.0,50,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_1.0,100,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_1.0,200,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_1.0,300,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_1.0,443,1.0,1.0,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_0.25,1,1.0,0.25,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_0.25,20,1.0,0.25,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_0.25,50,1.0,0.25,1.000000,1.000000,0.000000,0,0.000000,423,443
neutral_transit_v1,1.0,split_restore_0.25,100,1.0,0.25,1.000000,1.000000,0.000000,0,0.000000,423,443
