scenario,aspect_ratio,tick,expected_reference_spacing,physical_min_spacing,reference_surface_mode,soft_morphology_relaxation,width_depth_ratio,front_extent_ratio,expected_position_rms_error,formation_rms_radius_ratio
coupled_rigid,1.0,1,2.0,2.0,rigid_slots,0.2,1.0196468880573295,1.0112252324943638,0.17243488084075576,1.0125486859742387
coupled_rigid,1.0,20,2.0,2.0,rigid_slots,0.2,1.002449226624547,1.0921465535054635,0.7118823822920968,1.0528653856256136
coupled_rigid,1.0,50,2.0,2.0,rigid_slots,0.2,0.8961286828923157,1.2117090430232142,1.1344752324546754,1.0766441437448617
coupled_rigid,1.0,100,2.0,2.0,rigid_slots,0.2,0.7871623110464302,1.3270874833384312,1.672401404052008,1.1275184821530417
coupled_rigid,1.0,120,2.0,2.0,rigid_slots,0.2,0.7872978791238554,1.3466600062041232,1.7698346290981288,1.1337564903218085
split_rigid,1.0,1,2.0,1.0,rigid_slots,0.2,0.9999999999999998,0.9999999999999923,7.034014214903312e-14,1.0000000000000002
split_rigid,1.0,20,2.0,1.0,rigid_slots,0.2,1.0000000000000042,1.0000000000000036,6.108188387184286e-14,1.0000000000000056
split_rigid,1.0,50,2.0,1.0,rigid_slots,0.2,0.9999999999999994,1.0000000000000033,1.0700688674783521e-13,1.00000000000001
split_rigid,1.0,100,2.0,1.0,rigid_slots,0.2,0.9999999999999992,1.000000000000001,1.2004597966746857e-13,1.00000000000001
split_rigid,1.0,120,2.0,1.0,rigid_slots,0.2,0.9999999999999996,1.0000000000000022,1.0519872559667503e-13,1.0000000000000098
split_soft,1.0,1,2.0,1.0,soft_morphology_v1,0.2,0.9997799623071835,1.0002937137292094,0.45288012507054537,0.9982362597028195
split_soft,1.0,20,2.0,1.0,soft_morphology_v1,0.2,0.9990829396479204,1.0010788875876289,0.3581449008590198,0.9908916008017399
split_soft,1.0,50,2.0,1.0,soft_morphology_v1,0.2,0.9990564207792718,1.0038542427129364,0.34413211067160704,0.9891738425886695
split_soft,1.0,100,2.0,1.0,soft_morphology_v1,0.2,0.9990228785690485,1.0062254410364264,0.3562324243469487,0.9880275380017389
split_soft,1.0,120,2.0,1.0,soft_morphology_v1,0.2,0.9990059524474969,1.0067134999474026,0.3543695848585623,0.988036442403869
coupled_rigid,4.0,1,2.0,2.0,rigid_slots,0.2,4.780697384462116,1.0260939076035596,0.14842255585015873,1.006822342817951
coupled_rigid,4.0,20,2.0,2.0,rigid_slots,0.2,3.565230054098495,1.4473273623362866,0.7891811703237458,1.0296972572545067
coupled_rigid,4.0,50,2.0,2.0,rigid_slots,0.2,3.0273806439885953,1.6498480666439803,1.05864854394795,1.0217377016511893
coupled_rigid,4.0,100,2.0,2.0,rigid_slots,0.2,2.881522475064131,1.7206259186663784,1.2504408290583182,1.0233682931094075
coupled_rigid,4.0,120,2.0,2.0,rigid_slots,0.2,2.87758148523081,1.7236974330364414,1.2559367503620642,1.024103754079329
split_rigid,4.0,1,2.0,1.0,rigid_slots,0.2,4.749999999999996,1.000000000000005,1.6724189742859353e-14,0.9999999999999999
split_rigid,4.0,20,2.0,1.0,rigid_slots,0.2,4.749999999999964,1.0000000000000202,7.741981830734082e-14,1.0000000000000049
split_rigid,4.0,50,2.0,1.0,rigid_slots,0.2,4.749999999999991,1.0000000000000278,1.3630573003276593e-13,1.0000000000000098
split_rigid,4.0,100,2.0,1.0,rigid_slots,0.2,4.749999999999987,1.0000000000000353,1.5043382856924517e-13,1.00000000000001
split_rigid,4.0,120,2.0,1.0,rigid_slots,0.2,4.749999999999986,1.0000000000000453,1.7654663627671758e-13,1.0000000000000098
split_soft,4.0,1,2.0,1.0,soft_morphology_v1,0.2,4.72465213638189,1.000933572930368,0.5261742902401697,0.9979088994606968
split_soft,4.0,20,2.0,1.0,soft_morphology_v1,0.2,4.695563312313826,1.0036116544018807,0.35952914461335256,0.9931451675908045
split_soft,4.0,50,2.0,1.0,soft_morphology_v1,0.2,4.695545533356066,1.0036523632980936,0.3589894902939306,0.9925414885077702
split_soft,4.0,100,2.0,1.0,soft_morphology_v1,0.2,4.695520590730278,1.0082472649355032,0.3592294726390554,0.9923150808439773
split_soft,4.0,120,2.0,1.0,soft_morphology_v1,0.2,4.695499066960166,1.0082780617700124,0.35901147090385127,0.9919998046553514
